BBL,Latitude,Longitude
5046880034,40.55642843,-74.1191987
5046900118,40.55555632,-74.11728286
5046930018,40.55497716,-74.12024695
5046910037,40.55638741,-74.12167107
5046900139,40.5558114,-74.1175022
5046900137,40.55574218,-74.11757456
5046940018,40.55452219,-74.11948401
5047920061,40.55215935,-74.11459806
5046760073,40.55848827,-74.11820417
5041600044,40.55681647,-74.11335745
5041600349,40.55442975,-74.11087433
5047680071,40.55422436,-74.11129439
5046840029,40.55616066,-74.11720292
5047930055,40.55181082,-74.114893
5046900039,40.55531446,-74.11786135
5047460014,40.55358702,-74.11776304
5047730001,40.55418777,-74.11238667
5041600045,40.55689962,-74.11344396
5047760001,40.55290712,-74.11395007
5047460019,40.55351893,-74.11807773
5046760057,40.55839892,-74.11782858
5047460026,40.55343547,-74.11855689
5047460098,40.55413281,-74.11802676
5047670048,40.55404125,-74.11582776
5048030025,40.55042405,-74.11339603
5047460054,40.55322329,-74.11969036
5047360001,40.55571749,-74.12228698
5047400041,40.55420075,-74.12139392
5047370013,40.55509391,-74.12169679
5046800049,40.55831378,-74.11958413
5047930131,40.55327409,-74.11684635
5048020093,40.55051067,-74.11296734
5046800046,40.55822656,-74.11967782
5046820034,40.55728828,-74.1182763
5046800010,40.5581223,-74.11932459
5046900115,40.55530048,-74.1171181
5046810004,40.55783256,-74.11866379
5046760029,40.55786703,-74.11719384
5046900033,40.55513329,-74.11802747
5046900024,40.55480304,-74.11746599
5047920066,40.55202875,-74.11428081
5047460066,40.55347391,-74.11969261
5047460005,40.55384492,-74.11767198
5047460027,40.55339149,-74.11882537
5047680078,40.5539324,-74.11099127
5047680085,40.55371488,-74.11076544
5047810042,40.55210513,-74.1136619
5046830005,40.55694649,-74.11720431
5047460041,40.55289904,-74.11862363
5047620003,40.5541735,-74.11551398
5047670017,40.55429559,-74.11617603
5047460007,40.55375351,-74.11747156
5046810006,40.55779111,-74.11859577
5046790032,40.55706189,-74.11611603
5046840017,40.55584576,-74.11676156
5046760017,40.55835415,-74.11713297
5047370014,40.55488301,-74.12161605
5047930100,40.55196829,-74.11545766
5047930031,40.55295704,-74.11611584
5047670067,40.553265,-74.11491633
5047360012,40.55535404,-74.12222337
5047930036,40.55274162,-74.11588601
5047920082,40.55145524,-74.1139928
5047880011,40.55185338,-74.11280499
5047930041,40.55253148,-74.11566182
5047910087,40.55102851,-74.11248362
5047670080,40.5530205,-74.11492364
5047930102,40.55209665,-74.11559459
5047810013,40.55233053,-74.11411168
5041600337,40.55399253,-74.11041948
5046820017,40.55695826,-74.11816447
5041600011,40.55547486,-74.11196161
5047460081,40.55379953,-74.11917176
5047810043,40.55203224,-74.11358312
5041600352,40.55465076,-74.11110426
5047810006,40.55195497,-74.11377538
5046810002,40.55787237,-74.11872912
5041600321,40.55336584,-74.10976753
5046840035,40.55643657,-74.11677353
5046820026,40.55699582,-74.11872812
5046810017,40.55736228,-74.11892709
5047920109,40.55268085,-74.11529966
5047680065,40.55448191,-74.11156179
5047920104,40.55248451,-74.11509028
5047460023,40.55346707,-74.11837583
5047460078,40.55388023,-74.11931735
5047810041,40.55215764,-74.11371866
5047460024,40.55345655,-74.11843618
5047580016,40.55645788,-74.11485796
5047580013,40.55676112,-74.11500938
5047670021,40.55446117,-74.11649037
5046880030,40.55632879,-74.11930523
5047620032,40.55514001,-74.11650746
5047590001,40.55601633,-74.11447368
5047620019,40.55459434,-74.11596924
5048020018,40.55088894,-74.11306267
5047540054,40.55669405,-74.11385865
5047670042,40.55442616,-74.1161806
5047610016,40.55503412,-74.11297244
5047920103,40.55240251,-74.11500286
5046900025,40.55473844,-74.11753545
5047920043,40.55299255,-74.11530755
5046750015,40.55879634,-74.11860054
5046920001,40.55606326,-74.12057176
5046860008,40.5572306,-74.12033844
5046870026,40.5565458,-74.12042727
5046830019,40.55634184,-74.11756333
5047930098,40.55188191,-74.1153655
5047540062,40.55630703,-74.1134568
5047400016,40.55502983,-74.12273499
5047670079,40.55297295,-74.11487193
5046830029,40.55668245,-74.11771262
5047600001,40.55557835,-74.11389684
5047460062,40.55344617,-74.12008108
5047590011,40.55628038,-74.11427501
5048020024,40.55058193,-74.11272808
5046900123,40.55507923,-74.1173926
5046900121,40.55509968,-74.11724485
5047360015,40.55548767,-74.12237034
5047460003,40.55391677,-74.11770991
5047930027,40.5530901,-74.1162578
5047920073,40.5516817,-74.11408861
5047740001,40.55373903,-74.11190781
5046900027,40.55492756,-74.11768766
5047920011,40.5542973,-74.11669755
5046890008,40.55596558,-74.1179515
5046890004,40.55611815,-74.11820232
5047670001,40.55348536,-74.11542917
5047670013,40.55414812,-74.11601546
5046900005,40.55564365,-74.1174279
5046930009,40.55545058,-74.11965336
5046820012,40.55711733,-74.11799441
5046940015,40.55473463,-74.11935367
5047820038,40.55334762,-74.11038414
5046830014,40.55651788,-74.11742435
5046900117,40.55522894,-74.11720881
5047930030,40.55301027,-74.11617262
5047930045,40.55231858,-74.1154347
5046830022,40.55643015,-74.11779436
5046940003,40.5551861,-74.11909571
5046910013,40.55610202,-74.12151019
5046790017,40.55704275,-74.11563013
5047280133,40.55633238,-74.12238139
5046750023,40.55851727,-74.11895434
5047680001,40.55422994,-74.11167326
5046890011,40.55585478,-74.11816356
5046870024,40.55647796,-74.12031437
5046760027,40.55795289,-74.11710123
5046830026,40.55655817,-74.11800572
5046890003,40.55615923,-74.11826985
5046750006,40.55908681,-74.11835848
5046820025,40.55693603,-74.11862952
5047540034,40.55662122,-74.11416151
5046760025,40.55803979,-74.1170075
5047920113,40.55278125,-74.11540671
5047920208,40.55123421,-74.11345478
5047540029,40.55641074,-74.113939
5047460107,40.5542607,-74.1175872
5047850001,40.55286907,-74.11097852
5046830009,40.55680989,-74.1169789
5046800048,40.55828532,-74.11961471
5041600358,40.55483739,-74.11129842
5046810009,40.55769361,-74.11843642
5046810012,40.55751873,-74.11875998
5047280105,40.55768673,-74.12142224
5047460020,40.55350169,-74.1181767
5041600318,40.55328135,-74.10967963
5047670038,40.55456223,-74.11632876
5047670012,40.55410206,-74.11596532
5047460022,40.55347752,-74.11831545
5047920044,40.55293928,-74.1152508
5047540081,40.55541144,-74.1125269
5046790014,40.55710809,-74.11552663
5047820025,40.55314063,-74.11054159
5047880290,40.55228146,-74.11203292
5047910071,40.55169972,-74.11322373
5047670037,40.55461113,-74.11638201
5047460030,40.553175,-74.11810454
5047930108,40.55230581,-74.11581774
5047930032,40.55290382,-74.11605906
5046750012,40.55890186,-74.11848716
5046950107,40.55469621,-74.11824165
5046900113,40.55537886,-74.11705894
5046900035,40.55519443,-74.11812845
5047460037,40.55300853,-74.11841767
5047460002,40.55395839,-74.1176963
5046900136,40.55571348,-74.1176045
5047390029,40.553835,-74.12074101
5047540068,40.55599989,-74.11313789
5047280115,40.55715539,-74.12167538
5047280131,40.55648309,-74.12225074
5047400033,40.55445946,-74.12182198
5046830025,40.55650732,-74.11792177
5046790002,40.55735901,-74.11550768
5046950001,40.55490942,-74.11859323
5046860022,40.55691428,-74.12105781
5047810026,40.55274546,-74.11435399
5047810039,40.55226437,-74.11383402
5041600020,40.5559127,-74.11241715
5046800044,40.55816875,-74.11973992
5046810013,40.55747824,-74.11880323
5046810016,40.55741819,-74.11886737
5046830001,40.55708309,-74.11742973
5047920115,40.55291476,-74.11554907
5046790041,40.55742091,-74.11573341
5046760047,40.55801579,-74.11749853
5046750039,40.55907266,-74.11876901
5047930064,40.55140977,-74.11446515
5047930072,40.55106778,-74.11410031
5047920119,40.5530745,-74.11571942
5047920032,40.55339532,-74.11594747
5047910055,40.55106323,-74.1128007
5047680068,40.55440481,-74.11148175
5046910035,40.55633511,-74.12172813
5048020011,40.55090917,-74.11328195
5046840033,40.55630536,-74.11691279
5046790018,40.55700241,-74.11569018
5046830031,40.55678951,-74.11760004
5047670078,40.55292213,-74.11481666
5047810010,40.55211363,-74.11394704
5047460073,40.55380079,-74.11959155
5047280128,40.55663972,-74.12211552
5047670075,40.55286931,-74.1146231
5047370005,40.55521938,-74.12147978
5047400001,40.55588036,-74.1227019
5046760059,40.5583154,-74.11791906
5047380001,40.55491319,-74.12095037
5046900022,40.55487145,-74.11741615
5047910050,40.55079637,-74.1125075
5047540035,40.55669052,-74.11421337
5047460045,40.55285007,-74.11884132
5047620028,40.55494149,-74.11634479
5047540037,40.55684891,-74.11435538
5047460004,40.55388013,-74.11770408
5047760270,40.55335391,-74.11320396
5047460038,40.55298116,-74.11846916
5047540066,40.55613957,-74.11328292
5047620027,40.55488705,-74.11628589
5047540053,40.55675144,-74.11391824
5047670062,40.55350772,-74.1151806
5047540060,40.55641767,-74.11357168
5047540040,40.55704766,-74.11453358
5047670018,40.55432504,-74.11634233
5047930015,40.55362427,-74.1168277
5047670022,40.55452417,-74.11656839
5041600048,40.55703865,-74.11358861
5047930043,40.55239842,-74.11551987
5046930015,40.5551682,-74.1200888
5046890023,40.55543113,-74.11860786
5046760061,40.55823073,-74.11801078
5046860005,40.55731584,-74.12048403
5046890014,40.55572792,-74.11829661
5047920051,40.55261542,-74.11490579
5046760005,40.55870202,-74.1177103
5047540036,40.5567647,-74.11427988
5046800035,40.55788598,-74.12004364
5046910043,40.55660925,-74.12142904
5046950014,40.55437566,-74.11851337
5046890001,40.55623713,-74.11839848
5041600328,40.55358089,-74.10999125
5041600360,40.55494955,-74.1114151
5047540055,40.55663869,-74.11380117
5046830033,40.55689736,-74.11748664
5046940009,40.55505468,-74.11887308
5046750030,40.55864915,-74.11922396
5046910006,40.55641949,-74.12116621
5041600001,40.5551708,-74.11164529
5047400036,40.55437731,-74.12168602
5041600037,40.55654272,-74.11307262
5047580008,40.5566806,-74.11516903
5047540049,40.5569144,-74.11408745
5046820003,40.55745992,-74.11804561
5046790035,40.55716467,-74.11600794
5047930059,40.55159682,-74.11466469
5046830013,40.55657034,-74.11736919
5047540063,40.5562217,-74.1133682
5047460059,40.55335788,-74.119949
5047460108,40.55422014,-74.11756963
5047610012,40.55521002,-74.11315485
5047460101,40.55426053,-74.1178915
5047930124,40.55298786,-74.1165454
5047920037,40.55323226,-74.11556292
5047460010,40.55363646,-74.11760829
5048030027,40.5503135,-74.1132742
5046790034,40.55711328,-74.11606198
5047930094,40.55171115,-74.11518332
5046830015,40.55646505,-74.1174799
5047460112,40.55413294,-74.11760548
5046830036,40.55623313,-74.11768044
5046780029,40.55740858,-74.11688709
5047460048,40.55303724,-74.11913674
5047460006,40.5538072,-74.11764398
5046800037,40.55795051,-74.11997433
5046800011,40.5580432,-74.11940954
5047400043,40.55411031,-74.12126772
5048030017,40.55076432,-74.11380571
5046760009,40.55856986,-74.1174891
5046930008,40.55553529,-74.11969925
5046950028,40.55448061,-74.1188739
5046900127,40.55534503,-74.11751203
5046900124,40.55504298,-74.1174239
5046880020,40.55597715,-74.11945183
5046900129,40.55542512,-74.11742951
5046850001,40.55775072,-74.12088436
5046930001,40.55574146,-74.12003565
5046810018,40.55719808,-74.11905612
5046820014,40.55706413,-74.11805129
5046760064,40.55804348,-74.11809936
5046900138,40.55577074,-74.11754476
5047810040,40.55221052,-74.11377582
5047680069,40.55432565,-74.11139956
5046950015,40.55432214,-74.11856968
5046760048,40.55805713,-74.11745388
5047620335,40.55542942,-74.11474338
5047610001,40.55506739,-74.11341385
5046840027,40.55605113,-74.11716866
5047540045,40.55703162,-74.11430462
5047680072,40.55415162,-74.11121887
5046900134,40.55560618,-74.11769043
5047810021,40.55265842,-74.11453654
5047580005,40.55665099,-74.11525101
5047580014,40.55678808,-74.11495594
5047670015,40.55420578,-74.11607825
5047460090,40.55385421,-74.11822768
5047400013,40.55532334,-74.12291857
5046890017,40.55558185,-74.1184498
5046880018,40.55588133,-74.11919157
5046910023,40.55598541,-74.12194319
5047930001,40.55338995,-74.11692296
5047460058,40.5532979,-74.11983682
5047460035,40.55306327,-74.11831471
5048030104,40.55014157,-74.11342835
5047540047,40.55708346,-74.11416593
5046810028,40.55760469,-74.11913439
5046760007,40.55862913,-74.11758829
5046900037,40.55524552,-74.11821285
5047910082,40.55126049,-74.11274701
5046910011,40.55626627,-74.12133223
5046950108,40.55465369,-74.11817154
5046810024,40.55740473,-74.11939575
5046820021,40.55674468,-74.11839279
5046830011,40.55667526,-74.11725886
5046800042,40.55812267,-74.11978941
5048030024,40.55047659,-74.11345394
5047930046,40.55225152,-74.11536315
5046920021,40.55556909,-74.12123928
5047670068,40.55319363,-74.11483861
5046870001,40.55708921,-74.11984143
5047670074,40.55292022,-74.11467853
5047680046,40.55522212,-74.11233033
5047670066,40.55331471,-74.11496459
5046910041,40.55655271,-74.12149073
5047910051,40.55084954,-74.11256591
5047810001,40.55174387,-74.11354696
5046930025,40.55519483,-74.1206142
5046860007,40.55725902,-74.12038697
5046900110,40.55548992,-74.11697659
5046930007,40.5555901,-74.11977963
5047680062,40.55455943,-74.11164229
5046950104,40.55478048,-74.11838061
5046860009,40.55717843,-74.12023883
5046950016,40.55426581,-74.11862889
5047670030,40.55489324,-74.11662766
5046820035,40.55734246,-74.1182184
5047920033,40.55341836,-74.11576118
5046840100,40.55615006,-74.11657131
5047920005,40.55450365,-74.11690851
5047930038,40.55264075,-74.11577839
5046820032,40.55723507,-74.11833317
5046950022,40.55406229,-74.1188543
5041600013,40.55558785,-74.11207917
5046760067,40.55810705,-74.11820477
5046760069,40.55819108,-74.1183441
5046840024,40.55600832,-74.11709835
5047920034,40.55336527,-74.11570461
5046780027,40.55728921,-74.11683713
5047920093,40.55197189,-74.1145437
5046920028,40.55583014,-74.12105596
5046860006,40.55728743,-74.1204355
5047820041,40.55314528,-74.11017408
5041600334,40.55388305,-74.11030559
5046950025,40.55438183,-74.11897861
5046950021,40.5541253,-74.11877706
5047930040,40.5525847,-74.11571861
5046870011,40.55659539,-74.1197672
5046900132,40.5555285,-74.11776568
5047930005,40.55384272,-74.11703251
5046840001,40.55669235,-74.11663866
5046760045,40.55795496,-74.11756423
5047930128,40.55318333,-74.11675394
5047670060,40.55356032,-74.11523786
5047910046,40.5507452,-74.11245887
5047670003,40.55361355,-74.11543342
5047670036,40.55464996,-74.11644767
5047680048,40.555148,-74.11225338
5047620022,40.55470503,-74.11608899
5041600054,40.55724612,-74.11370019
5047670005,40.55372147,-74.11555093
5046890027,40.55571449,-74.11890299
5046820018,40.55685054,-74.11827962
5046750018,40.55869075,-74.11871399
5046920011,40.55570665,-74.1207227
5047670090,40.55340615,-74.11534303
5046880011,40.55616226,-74.119026
5046820117,40.55690507,-74.11822133
5046860001,40.55752711,-74.12060775
5046780030,40.55733809,-74.11706241
5046910026,40.55606491,-74.12207516
5046750007,40.55904753,-74.11829366
5047930062,40.55151622,-74.11457871
5047920114,40.55283492,-74.11546395
5046790027,40.55688148,-74.11616729
5046810001,40.5579171,-74.11886273
5047920054,40.55245562,-74.11473555
5046950018,40.55420724,-74.11869071
5046920018,40.5553999,-74.12095966
5046950002,40.55486575,-74.11852121
5041600026,40.5561397,-74.11265332
5047930080,40.55124371,-74.11468466
5047460049,40.55327946,-74.11934057
